id,title,artist
KMFq1B9Il-g,How To Play “I'm Not In Love” by 10cc / Kelsey Lu [Piano Tutorial/Chords for Singing],Echo City Piano Lessons
GkLBsaGy97k,You Never Give Me Your Money & She Came In Through the Bathroom Window - Paul McCartney Live 5/2/22,Devin Creisler Studios
ijULhuHSKJY,Not in Love - Crystal Castles Acoustic Cover,bubbleteakitty
nmQV1HQ7TYI,ROLLING IN THE DEEP / KZ TANDINGAN -MALE VERSION / LOWER KEY,Jonas Oñate
_0d6VEhphek,Little Wing (Guitar solo) - Sting version,pierogianp
kobjnbYngnE,Rage Against the Machine   ----  Maggie's Farm,meligaliotis
M3YVK4mjjeQ,Amie (Originally Performed By Pure Praire League),B the Star - Topic
HQ-arnuPmg4,Best of Coterie NY 2014: Cecilia De Bucourt,The Holy Fashion
tZPOYjQK96Y,"""Chandelier"" SIA * Allie Sherlock cover",Allie Sherlock
TC-7q5cHu1Y,The Beatles - Come Together (Instrumental Cover by Gregg Young & the 2nd Street Band),Gregg Young
0gcoxwRnZh4,Guns N'Roses & Slash godfather Sweet Child O'Mine Live Tokyo 1992,Shawn Alvarado
c8XS0GXfl94,"16-20 The Road to Seattle, I-90 West to the end",Freewayjim
iV2022of2DU,We Can Work It Out - Chaka Khan | Karaoke Version | KaraFun,KaraFun Karaoke
EDQasZpjLXE,Adele -  Someone Like You  [Lyrics],LYRICSoo
kCFFdRxGo50,A WHITER SHADE OF PALE dance REMIX,FASHION MUSIC TUBE
_HwWjBxlIz8,"Rolling Stones Street Fighting Man live. Show start! Los Angeles Oct 17, 2021",jjflash30
AmkMEoVb6rA,The Specials - Rat Race (Official Music Video),The Specials
83Xt2ZFPGH0,My Heart Will Go On - (Simple arrangement) Fingerstyle Guitar Tutorial TAB,yunus guitarist
bMybZyuxjxE,Street Fighting Man Cover,LeNnoN76oMAtt
azISBTJfhLE,ALL TOMORROW'S PARTIES with Rob Spillman,GroveAtlantic
