id,title,artist
148,Moon River,Henry Mancini and His Orchestra and Chorus
209,Purple Haze,Jimi Hendrix Experience
775,You've Lost That Lovin' Feelin',The Righteous Brothers
867,Proud Mary,Creedence Clearwater Revival
998,Norwegian Wood (This Bird Has Flown),The Beatles
1033,Don't Be Cruel,Elvis Presley
1305,You Keep Me Hangin' On,The Supremes
1308,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
1478,A Day in the Life,The Beatles
2271,The Trooper,Iron Maiden
2474,Ticket to Ride,The Beatles
2968,Georgia on My Mind,Hoagy Carmichael and His Orchestra
3061,My Girl,The Temptations [US1]
3264,Almost Like Being in Love,David Brooks and Marion Bell
3266,Ol' Man River,Jules Bledsoe
3414,Money,Pink Floyd
4694,It Ain't Necessarily So,John W. Bubbles
4700,Embraceable You,Ginger Rogers and Allen Kearns
4702,My Man's Gone Now,Ruby Elzy
4835,Young at Heart,Frank Sinatra
4849,Alone Together,Leo Reisman and His Orchestra
5216,A Change Is Gonna Come,Sam Cooke
5438,A Foggy Day,Hal Kemp and His Orchestra - Vocal Refrain by Skinny Ennis
5724,Falling,Julee Cruise
6031,Come Rain or Come Shine,"Ruby Hill, Harold Nicholas"
6437,These Boots Are Made for Walkin',Nancy Sinatra
6453,Edelweiss,Theodore Bikel and Mary Martin
6693,People Make the World Go Round,The Stylistics
6730,Alexander's Ragtime Band,Emma Carus
7578,Witchcraft,Frank Sinatra
7580,Easy Living,Teddy Wilson and His Orchestra - Vocal Chorus Billie Holiday
8203,I Get a Kick out of You,William Gaxton & Ethel Merman
8824,I Was Made to Love Her,Stevie Wonder
9271,La mer,Roland Gerbeau - Orchestre Pierre Guillermin
9812,What's Going On,Marvin Gaye
10237,Daydream Believer,The Monkees
10576,Angel Eyes,Herb Jeffries with Buddy Baker and His Orchestra
10745,For All We Know,Morton Downey
10788,Got to Get You into My Life,The Beatles
10914,Crazy He Calls Me,Billie Holiday
11006,I Can't Give You Anything but Love (Baby),Adelaide Hall
11534,My Foolish Heart,Gordon Jenkins and His Orchestra
11819,Out of This World,Jo Stafford with Paul Weston and His Orchestra
11850,April in Paris,Evelyn Hoey
12031,I've Got You Under My Skin,Frances Langford with Jimmy Dorsey and His Orchestra
12137,You Took Advantage of Me,Busby Berkeley and Joyce Barber
12140,"Lover Man (Oh, Where Can You Be?)",Billie Holiday
12255,Cheek to Cheek,Fred Astaire with Leo Reisman and His Orchestra
12317,Close Your Eyes,Freddie Martin and His Orchestra
12972,Don't You Worry 'Bout a Thing,Stevie Wonder
13204,You've Got a Friend,Carole King
14354,Tennessee Waltz,Cowboy Copas
15300,Annie's Song,John Denver
17671,Purple Rain,Prince and The Revolution
20097,I Love How You Love Me,The Paris Sisters
20120,In the Wee Small Hours of the Morning,Frank Sinatra
20414,Cecilia,Simon and Garfunkel
20541,The Ballad of the Sad Young Men,Tani Seitz
20639,You Make Me Feel Brand New,The Stylistics
21528,Desafinado,João Gilberto
22948,With a Song in My Heart,John Hundley & Lillian Taiz
26939,Good Morning Starshine,Jill O'Hara and the Company
28784,The Sweetest Sounds,Diahann Carroll & Richard Kiley
29060,There Is No Greater Love,Isham Jones and His Orchestra
30552,Temptation,Bing Crosby with Lennie Hayton and His Orchestra
32534,High Noon (Do Not Forsake Me),Tex Ritter
32711,Too Young,Victor Young and His Orchestra - Vocal Chorus by Louanne Hogan
33251,Frankie and Johnny,The Leighton Brothers
34604,Let's Call the Whole Thing Off,Fred Astaire with Johnny Green and His Orchestra
35206,Just in Time,Sydney Chaplin and Judy Holliday
39520,Us and Them,Pink Floyd
39783,I'll See You in My Dreams,"Isham Jones, Guest Conductor with Ray Miller's Orchestra"
40120,A Time for Love,Janet Leigh [dubbed by Jackie Ward]
40419,Frosty the Snow Man,Gene Autry and The Cass County Boys
40876,"Baby, Won't You Please Come Home",Eva Taylor
