id,title,artist
9131,When Sunny Gets Blue,Johnny Mathis with Ray Conniff and His Orchestra
35188,Who Can I Turn To (When Nobody Needs Me)?,Norman Wisdom
14809,Some Other Time,"Betty Comden, Nancy Walker, Adolph Green and Cris Alexander"
124745,You're My Thrill,Mike Doty and His Orchestra - Vocal Refrain by Ward Silloway
4816,I Fall in Love Too Easily,Frank Sinatra
156539,Closer,The Chainsmokers ft. Halsey
6437,These Boots Are Made for Walkin',Nancy Sinatra
150625,Modinha,Elizete Cardoso
10237,Daydream Believer,The Monkees
5396,Thriller,Michael Jackson
52227,Invitation,The MGM Studio Orchestra
7580,Easy Living,Teddy Wilson and His Orchestra - Vocal Chorus Billie Holiday
50523,A Lot of Livin' to Do,"Dick Gautier, Susan Watson and Teenagers"
12317,Close Your Eyes,Freddie Martin and His Orchestra
4683,Nice Work if You Can Get It,Shep Fields and His Rippling Rhythm Orchestra
5958,She's Leaving Home,The Beatles
11817,This Is All I Ask,Nat King Cole with Orchestra conducted by Gordon Jenkins
7578,Witchcraft,Frank Sinatra
2970,Reach Out I'll Be There,Four Tops
5363,Little Green Apples,Roger Miller [US-OK]
3414,Money,Pink Floyd
867,Proud Mary,Creedence Clearwater Revival
9263,It Could Happen to You,Jo Stafford with Paul Weston and His Orchestra
40199,Papa's Got a Brand New Bag,James Brown and The Famous Flames
23772,I'll Remember April,Woody Herman and His Orchestra
156542,This Is What You Came For,Calvin Harris // Rihanna
13216,Time in a Bottle,Jim Croce
2427,God Only Knows,The Beach Boys
3353,Alfie,Cilla Black
5388,Brown Eyed Girl,Van Morrison
4702,My Man's Gone Now,Ruby Elzy
6453,Edelweiss,Theodore Bikel and Mary Martin
575,"Memphis, Tennessee",Chuck Berry
69970,Odio l'estate,Bruno Martino
39783,I'll See You in My Dreams,"Isham Jones, Guest Conductor with Ray Miller's Orchestra"
20049,I'm Old Fashioned,Fred Astaire & Rita Hayworth [dubbed by Nan Wynn]
17671,Purple Rain,Prince and The Revolution
10603,Alone Again (Naturally),Gilbert O'Sullivan
10717,Don't Let Me Be Lonely Tonight,James Taylor
74362,Granada,Pedro Vargas con Orquesta
10141,La bamba,El Jarocho
1017,I Wish,Stevie Wonder
775,You've Lost That Lovin' Feelin',The Righteous Brothers
22053,Karma Police,Radiohead
148,Moon River,Henry Mancini and His Orchestra and Chorus
7261,Yesterday Once More,Carpenters
1443,The Windmills of Your Mind,Noel Harrison
5534,Highway to Hell,AC/DC
4835,Young at Heart,Frank Sinatra
1130,When I'm Sixty-Four,The Beatles
8937,Penny Lane,The Beatles
115251,The Second Time Around,Bing Crosby with Pete King and His Orchestra
9132,Honey,Bob Shane
13698,Sentimental Journey,Les Brown and His Orchestra - Vocal Chorus by Doris Day
32711,Too Young,Victor Young and His Orchestra - Vocal Chorus by Louanne Hogan
246,I'm a Believer,The Monkees
20541,The Ballad of the Sad Young Men,Tani Seitz
4700,Embraceable You,Ginger Rogers and Allen Kearns
45783,Love Walked In,Kenny Baker [US1]
97460,I'm Glad There Is You,Jimmy Dorsey and His Orchestra
125863,(There's No Place Like) Home for the Holidays,Perry Como with Mitch Ayres and His Orchestra
47901,Born Free,Matt Monro
954,Heroes,David Bowie
29060,There Is No Greater Love,Isham Jones and His Orchestra
9560,The Hammer Song,The Weavers
86795,Love Me or Leave Me,Ruth Etting
76174,The Look of Love,Stan Getz
52660,Keep Growing Strong,Connie Stevens
3266,Ol' Man River,Jules Bledsoe
109642,Three Coins in the Fountain,Frank Sinatra with Orchestra conducted by Nelson Riddle
4012,Hit the Road Jack,Percy Mayfield
15521,If You Leave Me Now,Chicago
10129,Behind Blue Eyes,Pete Townshend
114742,Stars Fell on Alabama,Guy Lombardo's Royal Canadians
401,All Along the Watchtower,Bob Dylan
704,Stairway to Heaven,Led Zeppelin
731,All by Myself,Eric Carmen
12992,I Can See Clearly Now,Johnny Nash
998,Norwegian Wood (This Bird Has Flown),The Beatles
6216,You've Made Me So Very Happy,Brenda Holloway
34791,Rainy Night in Georgia,Tony Joe White
994,Mrs. Robinson,Simon and Garfunkel
9004,La-La-Means I Love You,The Delfonics
15300,Annie's Song,John Denver
6031,Come Rain or Come Shine,"Ruby Hill, Harold Nicholas"
7776,Back in Black,AC/DC
6870,Try to Remember,Jerry Orbach
5216,A Change Is Gonna Come,Sam Cooke
30209,All in Love Is Fair,Stevie Wonder
1282,Mr. Tambourine Man,Bob Dylan
6693,People Make the World Go Round,The Stylistics
26839,Berimbau,Vinicius de Moraes
11819,Out of This World,Jo Stafford with Paul Weston and His Orchestra
399,Against All Odds (Take a Look at Me Now),Phil Collins
6753,Walk This Way,Aerosmith
20639,You Make Me Feel Brand New,The Stylistics
11898,I Say a Little Prayer,Dionne Warwick
30246,Somewhere,"Larry Kert, Reri Grist & Carol Lawrence"
39520,Us and Them,Pink Floyd
10788,Got to Get You into My Life,The Beatles
4922,A Taste of Honey,Billy Dee Williams
12137,You Took Advantage of Me,Busby Berkeley and Joyce Barber
5283,Skylark,Gene Krupa & His Orchestra
113615,Fix You,Coldplay
12031,I've Got You Under My Skin,Frances Langford with Jimmy Dorsey and His Orchestra
14354,Tennessee Waltz,Cowboy Copas
140437,Rude,MAGIC! [CA]
20097,I Love How You Love Me,The Paris Sisters
124571,Heartaches,Jacques Renard & His Orchestra
10914,Crazy He Calls Me,Billie Holiday
5549,Smoke on the Water,Deep Purple
21528,Desafinado,João Gilberto
88508,Carolina in the Morning,Willie & Eugene Howard
11534,My Foolish Heart,Gordon Jenkins and His Orchestra
19748,Please Send Me Someone to Love,Percy Mayfield
62782,O Amor em Paz,Agostinho dos Santos
40120,A Time for Love,Janet Leigh [dubbed by Jackie Ward]
9271,La mer,Roland Gerbeau - Orchestre Pierre Guillermin
9508,Yellow Submarine,The Beatles
6394,What a Wonderful World,Louis Armstrong
10428,What the World Needs Now Is Love,Jackie deShannon
61207,(I'm Gettin') Sentimental over You,Dorsey Brothers' Orchestra - Vocal Chorus by Jean Bowes
343,As Tears Go By,Marianne Faithfull
2474,Ticket to Ride,The Beatles
6784,Vincent,Don McLean
2271,The Trooper,Iron Maiden
19945,Anything Goes,Ethel Merman
3211,You Really Got Me,The Kinks
1478,A Day in the Life,The Beatles
123840,I Wish I Knew,Dick Haymes with Orchestra under direction of Victor Young
4887,Everything Happens to Me,Tommy Dorsey and His Orchestra
149519,Hello,Adele
4646,Our Day Will Come,Ruby and The Romantics
40419,Frosty the Snow Man,Gene Autry and The Cass County Boys
3497,Can't Take My Eyes off You,Frankie Valli
1033,Don't Be Cruel,Elvis Presley
92417,My Buddy,Henry Burr
59952,Red Sails in the Sunset,Lew Stone and His Band
123591,Nobody's Sweetheart,Isham Jones and His Orchestra
4833,River Man,Nick Drake
12972,Don't You Worry 'Bout a Thing,Stevie Wonder
2768,Eleanor Rigby,The Beatles
10902,I'm in the Mood for Love,Little Jack Little and His Orchestra
4704,I Got Rhythm,Ethel Merman
1308,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
31383,My Girl Sloopy,The Vibrations
64395,What Are You Doing New Year's Eve,Kay Kyser and His Orchestra - Vocal Chorus by Harry Babbitt and The Campus Kids
14599,All of Me,Paul Whiteman and His Orchestra - Vocal Refrain by Mildred Bailey
77841,Harbour Lights,Roy Fox and His Orchestra
25030,Good Vibrations,The Beach Boys
22926,The Lady Is a Tramp,Mitzi Green
3552,Do You Want to Know a Secret,The Beatles
8824,I Was Made to Love Her,Stevie Wonder
5319,Live and Let Die,Wings
23627,Rainy Days and Mondays,Carpenters
39786,Comes Love,Harry James and His Orchestra - Vocal Chorus Connie Haines
83873,I Could Have Danced All Night,Julie Andrews and Philippa Bevans
15519,Homeward Bound,Chad and Jeremy
9671,Good-Bye,Benny Goodman and His Orchestra
10685,She Loves You,The Beatles
113724,Poker Face,Lady Gaga
8339,I Am a Rock,Paul Simon
132987,A Beautiful Friendship,Ella Fitzgerald - Orchestra conducted by Buddy Bregman
3264,Almost Like Being in Love,David Brooks and Marion Bell
28784,The Sweetest Sounds,Diahann Carroll & Richard Kiley
14238,What'd I Say,Ray Charles
2158,Cry Me a River,Julie London
55861,Scarlet Ribbons (For Her Hair),Jo Stafford with Vocal Group and Paul Weston and His Orchestra
8203,I Get a Kick out of You,William Gaxton & Ethel Merman
424,Come Together,The Beatles
17053,Yellow,Coldplay
132686,Isle of Capri,Lew Stone and His Band - Vocal Chorus by Nat Gonella
9812,What's Going On,Marvin Gaye
5697,Beauty and the Beast,Angela Lansbury
1347,True Love,Bing Crosby - Grace Kelly
151781,When We Were Young,Adele
2407,Let's Dance,David Bowie
5724,Falling,Julee Cruise
42338,Unforgettable,Nat King Cole
7032,The Wind Beneath My Wings,Roger Whittaker
35206,Just in Time,Sydney Chaplin and Judy Holliday
2968,Georgia on My Mind,Hoagy Carmichael and His Orchestra
